name,year,region,area,population,gdp
Afghanistan,1989,Asia,647500,14825013,0
Afghanistan,1990,Asia,647500,15862293,0
Afghanistan,1991,Asia,647500,16450304,0
Afghanistan,1992,Asia,647500,16095664,0
Afghanistan,1993,Asia,647500,16494145,
Afghanistan,1994,Asia,647500,16903400,
Afghanistan,1995,Asia,647500,21251821,
Afghanistan,1996,Asia,647500,22664136,
Afghanistan,1997,Asia,647500,23738085,
Afghanistan,1998,Asia,647500,24792375,
Afghanistan,1999,Asia,647500,25824882,
Afghanistan,2000,Asia,647500,25838797,
Afghanistan,2001,Asia,647500,26813057,
Afghanistan,2002,Asia,647500,27755775,
Afghanistan,2003,Asia,647500,28717213,
Afghanistan,2004,Asia,647500,28513677,0.28999999
Afghanistan,2005,Asia,647500,29928987,7.5000003E-2
Afghanistan,2006,Asia,647500,31056997,0.14
Afghanistan,2007,Asia,647500,31889923,7.9999998E-2
Afghanistan,2008,Asia,647500,31889923,7.5000003E-2
Afghanistan,2009,Asia,647500,33609937,7.5000003E-2
Afghanistan,2010,Asia,647500,29121286,0.22499999
Afghanistan,2011,Asia,647500,29835392,8.2000002E-2
Albania,1989,Ethnic Groups in Eastern Europe, Europe,28750,3208033,
Albania,1990,Ethnic Groups in Eastern Europe, Europe,28750,3273131,
Albania,1991,Ethnic Groups in Eastern Europe, Europe,28750,3335044,
Albania,1992,Ethnic Groups in Eastern Europe, Europe,28750,3285224,
Albania,1994,Ethnic Groups in Eastern Europe, Europe,28750,3374085,0.11
Albania,1995,Ethnic Groups in Eastern Europe, Europe,28750,3413904,0.11
Albania,1996,Ethnic Groups in Eastern Europe, Europe,28750,3249136,5.9999999E-2
Albania,1997,Ethnic Groups in Eastern Europe, Europe,28750,3299757,5.0000001E-2
Albania,1999,Ethnic Groups in Eastern Europe, Europe,28750,3364571,0.07
Albania,2000,Ethnic Groups in Eastern Europe, Europe,28750,3490435,7.9999998E-2
Albania,2001,Ethnic Groups in Eastern Europe, Europe,28750,3510484,7.5000003E-2
Albania,2002,Ethnic Groups in Eastern Europe, Europe,28750,3544841,7.2999999E-2
Albania,2003,Ethnic Groups in Eastern Europe, Europe,28750,3582205,7.2999999E-2
Albania,2004,Ethnic Groups in Eastern Europe, Europe,28750,3544808,0.07
Albania,2005,Ethnic Groups in Eastern Europe, Europe,28750,3563112,5.6000002E-2
Albania,2006,Ethnic Groups in Eastern Europe, Europe,28750,3581655,0.055
Albania,2007,Ethnic Groups in Eastern Europe, Europe,28750,3600523,5.0000001E-2
Albania,2008,Ethnic Groups in Eastern Europe, Europe,28750,3600523,5.0000001E-2
Albania,2009,Ethnic Groups in Eastern Europe, Europe,28750,3639453,6.1000001E-2
Albania,2010,Ethnic Groups in Eastern Europe, Europe,28750,2986952,0.033
Albania,2011,Ethnic Groups in Eastern Europe, Europe,28750,2994667,0.035
Algeria,1989,Africa,2381740,24946073,0.02
Algeria,1991,Africa,2381740,26022188,0.025
Algeria,1992,Africa,2381740,26666921,0.025
Algeria,1993,Africa,2381740,27256252,2.8000001E-2
Algeria,1994,Africa,2381740,27895068,9.9999998E-3
Algeria,1995,Africa,2381740,28539321,2.0000001E-3
Algeria,1996,Africa,2381740,29183032,0.035
Algeria,1997,Africa,2381740,29830370,3.9999999E-2
Algeria,1998,Africa,2381740,30480793,0.025
Algeria,1999,Africa,2381740,31133486,3.2000002E-2
Algeria,2000,Africa,2381740,31193917,3.9000001E-2
Algeria,2001,Africa,2381740,31736053,5.0000001E-2
Algeria,2002,Africa,2381740,32277942,3.7999999E-2
Algeria,2003,Africa,2381740,32818500,0.033
Algeria,2004,Africa,2381740,32129324,7.4000001E-2
Algeria,2005,Africa,2381740,32531853,6.1000001E-2
Algeria,2006,Africa,2381740,32930091,0.055
Algeria,2007,Africa,2381740,33333216,2.9999999E-2
Algeria,2008,Africa,2381740,33333216,0.046
Algeria,2009,Africa,2381740,34178188,2.9999999E-2
Algeria,2010,Africa,2381740,34586184,0.022
Algeria,2011,Africa,2381740,34994937,0.033
American Samoa,1989,Oceania,199,40625,
American Samoa,1990,Oceania,199,41840,
American Samoa,1991,Oceania,199,43052,
American Samoa,1992,Oceania,199,51115,
American Samoa,1993,Oceania,199,53139,
American Samoa,1994,Oceania,199,55223,
American Samoa,1995,Oceania,199,57366,
American Samoa,1996,Oceania,199,59566,
American Samoa,1997,Oceania,199,61819,
American Samoa,1998,Oceania,199,62093,
American Samoa,1999,Oceania,199,63786,
American Samoa,2000,Oceania,199,65446,
American Samoa,2001,Oceania,199,67084,
American Samoa,2002,Oceania,199,68688,
American Samoa,2003,Oceania,199,70260,
